,topology_dysplasia_18_clean.csv,topology_dysplasia_5_clean.csv,topology_dysplasia_14_clean.csv,topology_dysplasia_13_clean.csv,topology_dysplasia_17_clean.csv,topology_dysplasia_10_clean.csv,topology_dysplasia_11_clean.csv,topology_dysplasia_7_clean.csv,topology_dysplasia_19_clean.csv,topology_dysplasia_8_clean.csv,topology_dysplasia_2_clean.csv,topology_dysplasia_9_clean.csv,topology_dysplasia_12_clean.csv,topology_dysplasia_1_clean.csv,topology_dysplasia_16_clean.csv,topology_dysplasia_15_clean.csv,topology_dysplasia_4_clean.csv,topology_dysplasia_3_clean.csv,topology_dysplasia_6_clean.csv
topology_dysplasia_18_clean.csv,0.0,23776.451812224263,2676.627579177308,14340.331845016273,11643.186834806946,22994.007829703194,16367.488045402595,36514.419082882814,8148.972335205206,21058.996856388792,45510.8951704372,53041.25035956228,13597.831480523677,30395.29645268854,5439.819087214384,3943.8818468853356,48903.02575310884,31329.763683797206,30665.35010229269
topology_dysplasia_5_clean.csv,23776.451812224263,0.0,21262.139151664258,9534.565207219126,12612.193689991254,1651.983222195748,7453.322203055614,12826.655354039063,15836.792661205778,4602.749296439094,22061.953049303313,29306.12839835732,10514.626517442153,6881.191575384717,29181.22465945028,20213.681251629034,25378.19226354494,8168.888872675873,8947.471815721914
topology_dysplasia_14_clean.csv,2676.627579177308,21262.139151664258,0.0,11826.130415431611,9054.698750699152,20481.588017095797,13856.143139888813,34001.045989102415,5902.5035030450235,18524.908631455266,42995.472541874544,50528.204527378824,11090.797218837268,27882.377215846718,7950.818075498252,1404.9033330361929,46391.797654407295,28817.809972429244,28143.41163891964
topology_dysplasia_13_clean.csv,14340.331845016273,9534.565207219126,11826.130415431611,0.0,3436.6391268113007,8774.077289439034,3487.1933648698573,22212.00655022025,7953.53599312652,7239.965698921124,31208.943787620723,38736.51425803586,4127.323431167688,16348.275779116373,19740.86280406375,10776.757923092275,34859.87317542238,17169.941927508597,16582.651676280464
topology_dysplasia_17_clean.csv,11643.186834806946,12612.193689991254,9054.698750699152,3436.6391268113007,0.0,11826.745220472116,5493.445438265247,25334.2436297866,7189.219083424724,9866.229752130797,34327.63183471144,41859.662431417404,4733.131323299588,19221.54437835457,16608.75434938023,7865.427624465109,37726.12046630186,20152.96877528048,19479.21130216487
topology_dysplasia_10_clean.csv,22994.007829703194,1651.983222195748,20481.588017095797,8774.077289439034,11826.745220472116,0.0,6688.051191425973,13577.350364286282,15007.073821453363,3230.166930228576,22613.95420131895,30085.45596059806,10169.410838728712,7788.238980170941,28400.082978633483,19429.28400361761,26153.36402539451,8688.893084673831,8838.735862180318
topology_dysplasia_11_clean.csv,16367.488045402595,7453.322203055614,13856.143139888813,3487.1933648698573,5493.445438265247,6688.051191425973,0.0,20174.48097804197,9023.785048499974,6126.739658128857,29173.54469646472,36697.35275279301,4795.706449474077,14077.07403486654,21767.809682819898,12817.480117421637,32588.415718324784,15008.269163158357,14602.331419411183
topology_dysplasia_7_clean.csv,36514.419082882814,12826.655354039063,34001.045989102415,22212.00655022025,25334.2436297866,13577.350364286282,20174.48097804197,0.0,28428.611962919305,15518.714427301053,10337.284610035133,16660.835838569234,23046.46194529342,7125.305190800807,41921.78447939247,32946.79361610954,14007.106551338127,5302.326141505273,5955.0420879043295
topology_dysplasia_19_clean.csv,8148.972335205206,15836.792661205778,5902.5035030450235,7953.53599312652,7189.219083424724,15007.073821453363,9023.785048499974,28428.611962919305,0.0,14714.407950298972,37528.694152341115,44935.43303387062,5610.020091072709,22366.83145670799,13548.203082694858,5395.799778122903,40839.971510526724,23572.230245204588,23588.321818167708
topology_dysplasia_8_clean.csv,21058.996856388792,4602.749296439094,18524.908631455266,7239.965698921124,9866.229752130797,3230.166930228576,6126.739658128857,15518.714427301053,14714.407950298972,0.0,24499.882666199737,32036.29548026171,10259.402984749042,10434.503657053592,26447.58186922736,17522.246978403,28361.736297318992,10712.285272012383,9728.347964259583
topology_dysplasia_2_clean.csv,45510.8951704372,22061.953049303313,42995.472541874544,31208.943787620723,34327.63183471144,22613.95420131895,29173.54469646472,10337.284610035133,37528.694152341115,24499.882666199737,0.0,12829.044480984256,32250.555056264202,17145.89909973912,50917.101234959235,41943.8671106828,15063.638318080637,14487.945439050594,14910.888577718313
topology_dysplasia_9_clean.csv,53041.25035956228,29306.12839835732,50528.204527378824,38736.51425803586,41859.662431417404,30085.45596059806,36697.35275279301,16660.835838569234,44935.43303387062,32036.29548026171,12829.044480984256,0.0,39590.257793760924,22684.485340724405,58449.71827558383,49472.00398608573,6341.0889326331035,21739.735991231766,22423.33166246598
topology_dysplasia_12_clean.csv,13597.831480523677,10514.626517442153,11090.797218837268,4127.323431167688,4733.131323299588,10169.410838728712,4795.706449474077,23046.46194529342,5610.020091072709,10259.402984749042,32250.555056264202,39590.257793760924,0.0,17233.416798874056,19002.23043235712,10052.93693990761,35716.48982391363,18589.811807555532,18780.826319315438
topology_dysplasia_1_clean.csv,30395.29645268854,6881.191575384717,27882.377215846718,16348.275779116373,19221.54437835457,7788.238980170941,14077.07403486654,7125.305190800807,22366.83145670799,10434.503657053592,17145.89909973912,22684.485340724405,17233.416798874056,0.0,35801.43167088926,26832.392945610296,18610.63611551699,3287.1779593515544,5355.756652288202
topology_dysplasia_16_clean.csv,5439.819087214384,29181.22465945028,7950.818075498252,19740.86280406375,16608.75434938023,28400.082978633483,21767.809682819898,41921.78447939247,13548.203082694858,26447.58186922736,50917.101234959235,58449.71827558383,19002.23043235712,35801.43167088926,0.0,8992.740284198437,54310.39451754228,36734.12687325257,36067.55124923951
topology_dysplasia_15_clean.csv,3943.8818468853356,20213.681251629034,1404.9033330361929,10776.757923092275,7865.427624465109,19429.28400361761,12817.480117421637,32946.79361610954,5395.799778122903,17522.246978403,41943.8671106828,49472.00398608573,10052.93693990761,26832.392945610296,8992.740284198437,0.0,45338.096356138994,27777.133598615736,27134.31827671767
topology_dysplasia_4_clean.csv,48903.02575310884,25378.19226354494,46391.797654407295,34859.87317542238,37726.12046630186,26153.36402539451,32588.415718324784,14007.106551338127,40839.971510526724,28361.736297318992,15063.638318080637,6341.0889326331035,35716.48982391363,18610.63611551699,54310.39451754228,45338.096356138994,0.0,17765.8459835865,18817.746855710924
topology_dysplasia_3_clean.csv,31329.763683797206,8168.888872675873,28817.809972429244,17169.941927508597,20152.96877528048,8688.893084673831,15008.269163158357,5302.326141505273,23572.230245204588,10712.285272012383,14487.945439050594,21739.735991231766,18589.811807555532,3287.1779593515544,36734.12687325257,27777.133598615736,17765.8459835865,0.0,2514.5499840265743
topology_dysplasia_6_clean.csv,30665.35010229269,8947.471815721914,28143.41163891964,16582.651676280464,19479.21130216487,8838.735862180318,14602.331419411183,5955.0420879043295,23588.321818167708,9728.347964259583,14910.888577718313,22423.33166246598,18780.826319315438,5355.756652288202,36067.55124923951,27134.31827671767,18817.746855710924,2514.5499840265743,0.0
