CellID,X_centroid,Y_centroid,phenotype,Cluster
607380,24626.561946902653,11038.610619469027,B cells,0
335897,26074.938697318008,11159.275862068966,B cells,1
662285,24462.341726618703,11711.3309352518,B cells,2
733646,24659.353846153845,12055.823076923078,B cells,3
152483,25793.858974358973,11236.19871794872,B cells,4
644226,26278.658914728683,11013.472868217052,B cells,5
576184,24475.01169590644,11471.008771929824,B cells,6
778744,24389.989966555186,11142.418060200667,B cells,7
577385,26209.682403433475,11301.248927038629,B cells,8
902811,24350.135,11809.44,B cells,9
438051,25909.140350877195,11328.666666666666,B cells,10
235400,24552.329479768785,11702.621387283238,B cells,11
823632,24640.14197530864,11053.20987654321,B cells,12
628084,26260.40594059406,11017.029702970298,B cells,13
417936,25257.24064171123,10990.7807486631,CD4+ T cells,0
465989,24930.135869565216,10727.092391304348,CD4+ T cells,1
257910,23386.249017038008,10086.044560943645,Ki67+ tumor cells ,0
586324,24746.309949892628,11480.365783822475,Ki67+ tumor cells ,1
831013,24434.935344827587,10452.525862068966,Ki67+ tumor cells ,2
948912,24303.19262295082,11068.08299180328,Ki67+ tumor cells ,3
409684,23888.23326959847,10293.586998087954,Ki67+ tumor cells ,4
238065,24762.29437229437,11684.588744588744,Ki67+ tumor cells ,5
248299,25151.9573283859,11347.196660482376,Ki67+ tumor cells ,6
800857,24511.69047619048,11924.489795918367,Ki67+ tumor cells ,7
729294,24649.46103896104,10658.406926406926,Ki67+ tumor cells ,8
200965,24155.86722689076,10394.089075630252,Ki67+ tumor cells ,9
20628,24795.59025270758,11267.410649819494,Ki67+ tumor cells ,10
28834,23201.885931558936,10188.002534854246,Ki67+ tumor cells ,11
556926,24755.851796407187,11585.303892215568,Ki67+ tumor cells ,12
872219,23791.935153583618,10250.100113765642,Ki67+ tumor cells ,13
334074,23484.598066298346,10067.127071823204,Ki67+ tumor cells ,14
13997,24745.29173419773,11336.42220421394,Ki67+ tumor cells ,15
786538,24758.390532544377,11623.510848126232,Ki67+ tumor cells ,16
374029,24797.71308724832,11741.511744966445,Ki67+ tumor cells ,17
612426,24265.558035714286,11075.035714285714,Ki67+ tumor cells ,18
524455,24748.405627198124,11552.230949589684,Ki67+ tumor cells ,19
894425,24771.235185185185,11654.792592592592,Ki67+ tumor cells ,20
1009419,24449.04016064257,10467.397590361446,Ki67+ tumor cells ,21
864495,23173.14406779661,10399.5,M1/M0 macrophages,0
832765,25520.14179104477,11264.41791044776,M1/M0 macrophages,1
558006,24402.30459770115,12007.008620689656,M1/M0 macrophages,2
