,topology_carcinoma_10_clean.csv,topology_carcinoma_2_clean.csv,topology_carcinoma_8_clean.csv,topology_carcinoma_20_clean.csv,topology_carcinoma_13_clean.csv,topology_carcinoma_9_clean.csv,topology_carcinoma_4_clean.csv,topology_carcinoma_17_clean.csv,topology_carcinoma_5_clean.csv,topology_carcinoma_7_clean.csv,topology_carcinoma_19_clean.csv,topology_carcinoma_18_clean.csv,topology_carcinoma_11_clean.csv,topology_carcinoma_16_clean.csv,topology_carcinoma_3_clean.csv,topology_carcinoma_6_clean.csv,topology_carcinoma_14_clean.csv,topology_carcinoma_12_clean.csv,topology_carcinoma_15_clean.csv,topology_carcinoma_1_clean.csv
topology_carcinoma_19_clean.csv,27.076652053900276,22.20165650895268,inf,10.225220982156387,inf,inf,9.026518895591892,52.57753471853207,inf,22.14269837119616,1.5037261035044595e-308,16.027622588988436,11.143616775271992,9.06665667801939,21.44762580429338,26.905340528648676,18.53881546430567,27.63210073310168,18.351239628830964,16.197586178058952
topology_carcinoma_18_clean.csv,30.32138525306722,15.6818693195369,inf,26.03294025681239,inf,inf,16.25448575331272,66.72508846756872,inf,16.994651431474832,16.027622588988436,9.965420035418887e-309,12.539538008889918,13.40002383414918,12.383214174692185,15.075913209680849,12.738002437997395,13.731875967978496,18.351239628830967,15.66767477043743
topology_carcinoma_11_clean.csv,25.667929723700908,15.908841761295475,inf,19.555206447147043,inf,inf,12.790218505940869,62.12742349785516,inf,14.309404715793505,11.143616775271992,12.539538008889918,5.76152353268889e-309,11.143616775271994,15.717130452934313,16.85139665802197,14.131417072712862,18.082211953778597,18.351239628830967,11.143616775271994
topology_carcinoma_16_clean.csv,27.076652053900276,19.251969053637737,inf,14.257269208018924,inf,inf,12.021580414567445,56.82948625872704,inf,19.416036646249804,9.06665667801939,13.40002383414918,11.143616775271994,7.754504646039036e-309,20.823762383390612,22.798643949286756,16.30077203371847,23.38014919290671,18.351239628830967,12.646417009054302
topology_carcinoma_3_clean.csv,35.00574336388273,7.759535304690843,inf,29.70671605290948,inf,inf,20.119413494059515,66.72508846756872,inf,20.668427227571925,21.44762580429338,12.383214174692185,15.717130452934313,20.823762383390612,1.242085680153719e-308,7.178287399578039,16.41177823409448,9.346992968173438,18.351239628830967,10.978083268525978
topology_carcinoma_6_clean.csv,36.15540872295049,12.139099840369267,inf,34.086280588587904,inf,inf,24.307826085088237,66.72508846756872,inf,25.04799176325035,26.905340528648676,15.075913209680849,16.85139665802197,22.798643949286756,7.178287399578039,1.4554270071042294e-308,20.79134276977291,9.346992968173438,19.22831043049011,15.240288673619574
topology_carcinoma_14_clean.csv,21.671452786739692,14.536626891816608,inf,14.91947923943873,inf,inf,15.596651945388714,55.86715486952312,inf,14.53662689181661,18.53881546430567,12.738002437997395,14.131417072712862,16.30077203371847,16.41177823409448,20.79134276977291,1.714325421133522e-308,24.34248058211064,18.351239628830967,14.53662689181661
topology_carcinoma_12_clean.csv,36.15540872295049,15.690237652706998,inf,37.63741840092563,inf,inf,27.858963897425966,64.97567827669087,inf,28.59912957558808,27.63210073310168,13.731875967978496,18.082211953778597,23.38014919290671,9.346992968173438,9.346992968173438,24.34248058211064,8.431893848757175e-309,22.77944824282784,18.7914264859573
topology_carcinoma_15_clean.csv,20.156997469071044,18.351239628830967,inf,18.351239628830967,inf,inf,18.351239628830967,57.43018720880592,inf,18.351239628830967,18.351239628830964,18.351239628830967,18.351239628830967,18.351239628830967,18.351239628830967,19.22831043049011,18.351239628830967,22.77944824282784,1.2343244173335966e-308,18.351239628830967
topology_carcinoma_1_clean.csv,27.076652053900276,9.4927450729393,inf,18.845991914968337,inf,inf,13.255422659141999,61.418208965676456,inf,9.807703089630778,16.197586178058952,15.66767477043743,11.143616775271994,12.646417009054302,10.978083268525978,15.240288673619574,14.53662689181661,18.7914264859573,18.351239628830967,1.637635527381854e-308
